Answer Key for AP Physics C:Electricity and
Magnetism Practice Book, Unit 4

Question 1: A                                 Question 21: C
Question 2: E                                  Question 22: E
Question 3: B                                  Question 23: A
Question 4: A                                 Question 24: D
Question 5: E                               Question 25: E
Question 6: D                                 Question 26: C
Question 7: C                                 Question 27: A
Question 8: D                                 Question 28: C
Question 9: C                                 Question 29: D
Question 10: C                                Question 30: A
Question 11: B                                Question 31: B
Question 12: E                                Question 32: E
Question 13: A                                Question 33: A
Question 14: E                              Question 34: D
Question 15: B                                Question 35: A
Question 16: A                                Question 36: C
Question 17: A                                Question 37: C
Question 18: D                                Question 38: A
Question 19: D                             Question 39: D
Question 20: B

225
